iter	Logloss
0	0.6636265013
1	0.6366062965
2	0.6147283732
3	0.5889746454
4	0.5720163318
5	0.5567908581
6	0.5423722288
7	0.5304546402
8	0.5196988765
9	0.5095584006
10	0.5015886727
11	0.4930236016
12	0.4848845571
13	0.4777311633
14	0.4714387434
15	0.4659779977
16	0.4604935932
17	0.4554755188
18	0.4510125875
19	0.4463138657
20	0.4398274097
21	0.4356385621
22	0.4321084314
23	0.4292364013
24	0.4264102229
25	0.4230890166
26	0.4199612266
27	0.4174082391
28	0.4154154621
29	0.4131568023
30	0.4107889257
31	0.4084430439
32	0.406485425
33	0.4041715963
34	0.4026120911
35	0.4010425222
36	0.3995017166
37	0.3979289511
38	0.3962957591
39	0.3945010437
40	0.39361522
41	0.3923357695
42	0.3909394109
43	0.3895318298
44	0.3878819227
45	0.3868186082
46	0.3860471112
47	0.3831248761
48	0.381850223
49	0.3807639569
50	0.3799391945
51	0.3787982474
52	0.3777608961
53	0.3771412147
54	0.376144803
55	0.3753277102
56	0.3743709195
57	0.3730913668
58	0.3721843182
59	0.371569802
60	0.3706540118
61	0.3695092062
62	0.3687520345
63	0.3678093937
64	0.366854157
65	0.3662083831
66	0.3652775046
67	0.3642825741
68	0.3634016944
69	0.3627377186
70	0.3618907076
71	0.3606975622
72	0.3600861844
73	0.3592988994
74	0.3585436923
75	0.3579358766
76	0.3572412184
77	0.3566168716
78	0.3557896433
79	0.355316576
80	0.3549212645
81	0.3540210647
82	0.3534604159
83	0.3528086827
84	0.3522298476
85	0.3514912879
86	0.3511433139
87	0.3508071705
88	0.350337839
89	0.3496746317
90	0.3491163038
91	0.3484833205
92	0.3480686619
93	0.3475368602
94	0.3468401788
95	0.3463211181
96	0.3454358669
97	0.3447366819
98	0.3445233976
99	0.3438442155
100	0.3431655424
101	0.342589095
102	0.3419848573
103	0.3413583573
104	0.3408244806
105	0.34036622
106	0.3397950602
107	0.3393061221
108	0.338957421
109	0.3383671399
110	0.3378682445
111	0.3374438009
112	0.3368409228
113	0.3360779831
114	0.3355405499
115	0.3344292513
116	0.3340190517
117	0.3334219818
118	0.3330021193
119	0.332634508
120	0.3323376443
121	0.3319403188
122	0.3312273808
123	0.3309024372
124	0.3303105627
125	0.3299862497
126	0.3295337541
127	0.3292063863
128	0.3289083724
129	0.3286065914
130	0.3282317673
131	0.3280404546
132	0.3278232592
133	0.3274930991
134	0.3268346834
135	0.3265140181
136	0.3260701893
137	0.3256548875
138	0.3254266736
139	0.3250049878
140	0.3245737282
141	0.3241921853
142	0.3237891101
143	0.3230386082
144	0.3228013674
145	0.3225362409
146	0.3221550159
147	0.321629072
148	0.3211594891
149	0.3208817177
150	0.3205199968
151	0.3202253146
152	0.3200154055
153	0.3197137865
154	0.3192841596
155	0.3188969278
156	0.3184116403
157	0.3182465457
158	0.3179602553
159	0.3170552918
160	0.3168118744
161	0.3164601799
162	0.316188625
163	0.3157749076
164	0.315429278
165	0.31533006
166	0.3149240928
167	0.3147525526
168	0.3144835832
169	0.3141209843
170	0.3137303571
171	0.3134925061
172	0.313173742
173	0.3127422075
174	0.3125535783
175	0.3122402411
176	0.3119611057
177	0.3115998486
178	0.3113267181
179	0.3110467638
180	0.3106146148
181	0.3103775586
182	0.3101380905
183	0.3099445229
184	0.3096296311
185	0.3091872303
186	0.3088711342
187	0.308737507
188	0.3083464792
189	0.3081504548
190	0.3077614428
191	0.3072957413
192	0.3068942224
193	0.3065310127
194	0.3062780209
195	0.3060074155
196	0.3057633984
197	0.305237773
198	0.305046798
199	0.3047188346
200	0.3043339835
201	0.3038981117
202	0.3035652586
203	0.3032088866
204	0.3030600922
205	0.3026008438
206	0.3023435568
207	0.3020607909
208	0.3017946835
209	0.3014773003
210	0.3012032966
211	0.3009022971
212	0.3005616456
213	0.3001507291
214	0.299853212
215	0.2996478148
216	0.2993600183
217	0.2991050151
218	0.2989046939
219	0.2986767319
220	0.2981006673
221	0.2978705135
222	0.2976608349
223	0.2973083459
224	0.2971156848
225	0.2966040047
226	0.2963666959
227	0.2961378402
228	0.2958692738
229	0.2955058268
230	0.2952946069
231	0.294926258
232	0.2947115827
233	0.2944618797
234	0.2939942358
235	0.2937900076
236	0.2935079173
237	0.2932658651
238	0.2930834969
239	0.2927212558
240	0.2925446692
241	0.2923575974
242	0.2922080656
243	0.2920767893
244	0.2917921788
245	0.2916078228
246	0.2914012231
247	0.2911985524
248	0.2910488562
249	0.2907802604
250	0.2905414065
251	0.2903329039
252	0.2900682588
253	0.2898674722
254	0.2896838598
255	0.2895014847
256	0.2892295751
257	0.289010905
258	0.2887223966
259	0.2881769108
260	0.2879628635
261	0.2877970374
262	0.2876035209
263	0.2873872522
264	0.2872160585
265	0.2865983272
266	0.2862378404
267	0.2860423128
268	0.2856783107
269	0.2854969133
270	0.2852733933
271	0.285073534
272	0.2847819682
273	0.2843556406
274	0.2839986396
275	0.2838193116
276	0.2837165782
277	0.2834611082
278	0.2832615193
279	0.2830073078
280	0.2828398696
281	0.2827040607
282	0.2825164065
283	0.2823021024
284	0.2821248712
285	0.2819529925
286	0.2817292319
287	0.2815070048
288	0.2812136583
289	0.2806877157
290	0.28051383
291	0.2802979643
292	0.2800829973
293	0.2798663616
294	0.2796375664
295	0.2794953421
296	0.2792491362
297	0.2790239959
298	0.2788376951
299	0.2785761316
300	0.2783597339
301	0.2781977055
302	0.2780750128
303	0.2779563953
304	0.2777675896
305	0.2775204469
306	0.2773615281
307	0.2772515493
308	0.2769983612
309	0.276854004
310	0.27663496
311	0.2762964717
312	0.2761932728
313	0.2760469433
314	0.2757965167
315	0.2756148532
316	0.2755026327
317	0.2752927569
318	0.2751074411
319	0.2749204076
320	0.2747630263
321	0.2745987394
322	0.2744692323
323	0.2743018786
324	0.2740830018
325	0.2738223833
326	0.2736440277
327	0.2733940049
328	0.2732283422
329	0.272964698
330	0.2727911913
331	0.2726527184
332	0.2725520022
333	0.2724156893
334	0.2722836391
335	0.272087031
336	0.2719403713
337	0.2717902762
338	0.2713564722
339	0.2712403091
340	0.2711535661
341	0.2710089553
342	0.2707517386
343	0.2706055619
344	0.2703911372
345	0.2702949284
346	0.2701117313
347	0.2699219277
348	0.2697170942
349	0.2694845239
350	0.2693262276
351	0.2691569588
352	0.2690846986
353	0.2689816611
354	0.2687872345
355	0.2686421696
356	0.2685226741
357	0.2683882562
358	0.2681439148
359	0.2679903778
360	0.2677416464
361	0.2675594882
362	0.2673897146
363	0.2672690491
364	0.2671969925
365	0.2670290835
366	0.2668583456
367	0.2666399825
368	0.2664099963
369	0.26628917
370	0.2660545517
371	0.2659564082
372	0.2658283237
373	0.2656353
374	0.2655306245
375	0.2654473769
376	0.2653432402
377	0.2652132842
378	0.2649918112
379	0.2648402137
380	0.2646743038
381	0.2644293846
382	0.2642976826
383	0.2641167261
384	0.2640051561
385	0.2639076329
386	0.2637006501
387	0.2635678205
388	0.2633745669
389	0.263278235
390	0.263121152
391	0.2627747606
392	0.2624231812
393	0.2623697571
394	0.2622932375
395	0.2621562558
396	0.2620413879
397	0.2618652528
398	0.2616569265
399	0.2613636073
400	0.2612735703
401	0.2611168556
402	0.261013925
403	0.2608740104
404	0.2607827574
405	0.2606243622
406	0.2605000607
407	0.2603454587
408	0.2601182071
409	0.2599966813
410	0.2598681139
411	0.2597646646
412	0.259634573
413	0.2593753473
414	0.2591097074
415	0.2589712452
416	0.2588397711
417	0.2587466428
418	0.2586314386
419	0.2583511389
420	0.2581683547
421	0.258100634
422	0.2580127005
423	0.2578869566
424	0.2577665524
425	0.257656583
426	0.2575509954
427	0.2574258866
428	0.2573279848
429	0.2571138976
430	0.2569490209
431	0.2568500098
432	0.2566921803
433	0.2565196604
434	0.2563624832
435	0.2561376969
436	0.256037016
437	0.2559037368
438	0.2558348034
439	0.2557621158
440	0.2556618203
441	0.255532705
442	0.2554285539
443	0.2553526746
444	0.255238849
445	0.2550162357
446	0.2548909285
447	0.2547957814
448	0.2546730517
449	0.2544504027
450	0.2543204578
451	0.2541149685
452	0.2540416919
453	0.2539046929
454	0.2539013907
455	0.2538136079
456	0.2536073383
457	0.2534489693
458	0.2532805982
459	0.253217547
460	0.2530084738
461	0.2529001252
462	0.2528123697
463	0.252656844
464	0.2525630953
465	0.2524051275
466	0.2522622819
467	0.2520750682
468	0.2520031948
469	0.251917674
470	0.2518087145
471	0.251707996
472	0.2515758537
473	0.2514551311
474	0.2512886708
475	0.251129462
476	0.2510076647
477	0.2509044937
478	0.2508082685
479	0.2506799979
480	0.2505608798
481	0.2504194459
482	0.2502972751
483	0.2501605591
