iter	Passed	Remaining
0	159	159475
1	171	85642
2	182	60806
3	194	48502
4	206	41082
5	218	36126
6	228	32464
7	242	30114
8	254	28017
9	267	26489
10	278	25069
11	290	23896
12	301	22924
13	314	22148
14	328	21543
15	340	20940
16	352	20356
17	364	19877
18	375	19413
19	388	19015
20	399	18623
21	411	18278
22	423	17998
23	435	17705
24	446	17425
25	458	17174
26	469	16928
27	481	16701
28	495	16602
29	507	16415
30	518	16220
31	531	16062
32	543	15926
33	559	15886
34	571	15743
35	581	15568
36	592	15420
37	603	15272
38	614	15138
39	625	15013
40	637	14902
41	648	14788
42	659	14683
43	671	14580
44	681	14472
45	693	14373
46	703	14269
47	714	14162
48	724	14066
49	734	13964
50	745	13872
51	756	13792
52	773	13814
53	783	13729
54	794	13655
55	806	13590
56	817	13521
57	832	13519
58	845	13480
59	857	13428
60	872	13433
61	886	13406
62	899	13377
63	913	13360
64	928	13353
65	942	13332
66	955	13311
67	969	13293
68	986	13305
69	999	13280
70	1012	13249
71	1025	13217
72	1037	13175
73	1050	13150
74	1068	13173
75	1082	13165
76	1094	13121
77	1108	13102
78	1123	13095
79	1136	13073
80	1150	13047
81	1167	13074
82	1183	13073
83	1197	13062
84	1209	13016
85	1222	12987
86	1234	12956
87	1246	12916
88	1258	12885
89	1270	12842
90	1280	12788
91	1291	12742
92	1301	12692
93	1312	12653
94	1323	12603
95	1333	12555
96	1345	12526
97	1357	12490
98	1367	12449
99	1379	12411
100	1389	12368
101	1400	12331
102	1411	12290
103	1422	12256
104	1434	12223
105	1444	12182
106	1456	12156
107	1468	12124
108	1478	12088
109	1491	12064
110	1503	12041
111	1516	12020
112	1528	11994
113	1541	11978
114	1553	11954
115	1565	11931
116	1577	11903
117	1590	11890
118	1605	11884
119	1618	11868
120	1630	11842
121	1643	11825
122	1655	11802
123	1667	11777
124	1678	11748
125	1690	11728
126	1702	11701
127	1712	11669
128	1723	11639
129	1735	11613
130	1746	11588
131	1757	11559
132	1774	11569
133	1798	11621
134	1811	11606
135	1823	11583
136	1834	11556
137	1847	11541
138	1861	11528
139	1873	11510
140	1885	11488
141	1897	11464
142	1908	11440
143	1922	11427
144	1934	11406
145	1945	11380
146	1957	11359
147	1969	11339
148	1982	11322
149	1996	11313
150	2011	11307
151	2024	11292
152	2038	11283
153	2050	11264
154	2062	11244
155	2074	11224
156	2086	11202
157	2098	11184
158	2109	11159
159	2121	11136
160	2131	11106
161	2141	11078
162	2153	11058
163	2166	11044
164	2178	11022
165	2189	11000
166	2203	10991
167	2215	10970
168	2227	10952
169	2238	10931
170	2250	10911
171	2263	10895
172	2274	10872
173	2285	10849
174	2297	10829
